sample_id,path,sample_rate,frames,duration_seconds,sha256
pair_0000_happy,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,48000,166567,3.4701458333333335,db3035ff3b1dd243f0c63be0791514fae2762c941093dcef6ffdcb02cc013d14
pair_0000_sad,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,48000,184184,3.8371666666666666,217c63ffd1b13eaa258c827c56acfcde592bed80c4809e158c755c284de2511a
pair_0001_happy,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,48000,166566,3.470125,074747121ec0b45290ee9c0f28350324e40af442afead70e641db4f7d1e1afa6
pair_0001_sad,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,48000,171371,3.5702291666666666,9c6bde015cb897b5ef6e37e8e5895a84635a6662ca515e762e9715b04a4d4cdc
pair_0002_happy,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,48000,169769,3.5368541666666666,7733fbdc0ea79eb710e4a81031aa4e9cbd0b015de25a5babe1b0ee3fc4e0c03a
pair_0002_sad,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,48000,168168,3.5035,ee8d71ab08e246729098d4277f2d6643287c2cfa9b8a09606a6761a58875fa8f
pair_0003_happy,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,48000,177778,3.703708333333333,4d89c73d25a870901b10f002d419ff0403372d946293e051b6f6ada9069aa546
pair_0003_sad,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,48000,161762,3.370041666666667,b93d8c5458f0e32071405d0499c33982d819637323b04e014b04d83b7dcccc04
pair_0004_happy,audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,48000,172973,3.6036041666666665,4654ca86da9f02b60a5ab11b69f1ed0dbc9cd1caae1a02455f8918c46bb7fd2e
pair_0004_sad,audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,48000,184184,3.8371666666666666,1dd1dea9b9f6522b2ada29cb60a35f55c6ce99fef1afb6e6fc48959d0de2c102
