condition_id,pair_id,actor,statement,repetition,intensity,happy_score,sad_score,pair_margin_happy_minus_sad,pair_direction_positive,pair_direction_tie
lower_prompt__lower_spaced,pair_0000,01,01,01,01,-4.8192138671875,-4.665885925292969,-0.15332794189453125,False,False
lower_prompt__lower_spaced,pair_0001,01,01,02,01,-5.02613639831543,-5.034701347351074,0.008564949035644531,True,False
lower_prompt__lower_spaced,pair_0002,01,02,01,01,-3.6504974365234375,-4.136430740356445,0.4859333038330078,True,False
lower_prompt__lower_spaced,pair_0003,01,02,02,01,-3.6577978134155273,-3.729320526123047,0.07152271270751953,True,False
lower_prompt__lower_spaced,pair_0004,02,01,01,01,-4.495369911193848,-5.081489562988281,0.5861196517944336,True,False
lower_prompt__lower_spaced,pair_0005,02,01,02,01,-4.709842681884766,-4.910290718078613,0.20044803619384766,True,False
lower_prompt__lower_spaced,pair_0006,02,02,01,01,-3.699923515319824,-4.016317367553711,0.3163938522338867,True,False
lower_prompt__lower_spaced,pair_0007,02,02,02,01,-3.5776729583740234,-3.6097402572631836,0.032067298889160156,True,False
lower_prompt__lower_spaced,pair_0008,03,01,01,01,-4.877997398376465,-4.82861328125,-0.049384117126464844,False,False
lower_prompt__lower_spaced,pair_0009,03,01,02,01,-4.948448181152344,-4.581788063049316,-0.36666011810302734,False,False
lower_prompt__lower_spaced,pair_0010,03,02,01,01,-3.8503170013427734,-3.586353302001953,-0.2639636993408203,False,False
lower_prompt__lower_spaced,pair_0011,03,02,02,01,-3.6587743759155273,-3.553539276123047,-0.10523509979248047,False,False
lower_prompt__lower_spaced,pair_0012,04,01,01,01,-4.807265281677246,-5.09046745300293,0.2832021713256836,True,False
lower_prompt__lower_spaced,pair_0013,04,01,02,01,-4.824993133544922,-4.82346248626709,-0.0015306472778320312,False,False
lower_prompt__lower_spaced,pair_0014,04,02,01,01,-3.7708921432495117,-3.7487106323242188,-0.02218151092529297,False,False
lower_prompt__lower_spaced,pair_0015,04,02,02,01,-3.5655460357666016,-4.004514694213867,0.4389686584472656,True,False
lower_prompt__lower_spaced,pair_0016,05,01,01,01,-4.7695207595825195,-4.454675674438477,-0.31484508514404297,False,False
lower_prompt__lower_spaced,pair_0017,05,01,02,01,-4.584039688110352,-4.810155868530273,0.22611618041992188,True,False
lower_prompt__lower_spaced,pair_0018,05,02,01,01,-3.3855628967285156,-3.5901594161987305,0.20459651947021484,True,False
lower_prompt__lower_spaced,pair_0019,05,02,02,01,-3.663294792175293,-3.44571590423584,-0.21757888793945312,False,False
lower_prompt__lower_spaced,pair_0020,06,01,01,01,-4.43934440612793,-4.747389793395996,0.3080453872680664,True,False
lower_prompt__lower_spaced,pair_0021,06,01,02,01,-4.471859931945801,-4.822492599487305,0.3506326675415039,True,False
lower_prompt__lower_spaced,pair_0022,06,02,01,01,-3.759463310241699,-3.603764533996582,-0.1556987762451172,False,False
lower_prompt__lower_spaced,pair_0023,06,02,02,01,-3.640167236328125,-3.834218978881836,0.19405174255371094,True,False
lower_prompt__lower_spaced,pair_0024,07,01,01,01,-4.641849517822266,-4.371240615844727,-0.27060890197753906,False,False
lower_prompt__lower_spaced,pair_0025,07,01,02,01,-4.836743354797363,-4.934492111206055,0.0977487564086914,True,False
lower_prompt__lower_spaced,pair_0026,07,02,01,01,-3.9205665588378906,-3.7867908477783203,-0.1337757110595703,False,False
lower_prompt__lower_spaced,pair_0027,07,02,02,01,-3.9205665588378906,-3.826481819152832,-0.0940847396850586,False,False
lower_prompt__lower_spaced,pair_0028,08,01,01,01,-4.118984222412109,-5.308669090270996,1.1896848678588867,True,False
lower_prompt__lower_spaced,pair_0029,08,01,02,01,-4.705171585083008,-4.522660255432129,-0.1825113296508789,False,False
lower_prompt__lower_spaced,pair_0030,08,02,01,01,-4.124983787536621,-2.7610607147216797,-1.3639230728149414,False,False
lower_prompt__lower_spaced,pair_0031,08,02,02,01,-3.9910764694213867,-3.360426902770996,-0.6306495666503906,False,False
lower_prompt__lower_spaced,pair_0032,09,01,01,01,-4.941693305969238,-4.923218727111816,-0.018474578857421875,False,False
lower_prompt__lower_spaced,pair_0033,09,01,02,01,-5.347901344299316,-4.468637466430664,-0.8792638778686523,False,False
lower_prompt__lower_spaced,pair_0034,09,02,01,01,-4.040596961975098,-3.9861698150634766,-0.054427146911621094,False,False
lower_prompt__lower_spaced,pair_0035,09,02,02,01,-3.6413040161132812,-4.412228584289551,0.7709245681762695,True,False
lower_prompt__lower_spaced,pair_0036,10,01,01,01,-4.350576400756836,-4.876230239868164,0.5256538391113281,True,False
lower_prompt__lower_spaced,pair_0037,10,01,02,01,-4.584333419799805,-4.629073143005371,0.044739723205566406,True,False
lower_prompt__lower_spaced,pair_0038,10,02,01,01,-3.8089113235473633,-2.643174171447754,-1.1657371520996094,False,False
lower_prompt__lower_spaced,pair_0039,10,02,02,01,-3.746310234069824,-3.5487403869628906,-0.1975698471069336,False,False
lower_prompt__lower_spaced,pair_0040,11,01,01,01,-4.436029434204102,-4.847668647766113,0.4116392135620117,True,False
lower_prompt__lower_spaced,pair_0041,11,01,02,01,-4.9232177734375,-5.211121559143066,0.2879037857055664,True,False
lower_prompt__lower_spaced,pair_0042,11,02,01,01,-3.731534004211426,-3.6432924270629883,-0.0882415771484375,False,False
lower_prompt__lower_spaced,pair_0043,11,02,02,01,-3.780104637145996,-3.597842216491699,-0.18226242065429688,False,False
lower_prompt__lower_spaced,pair_0044,12,01,01,01,-4.9404191970825195,-4.73288631439209,-0.2075328826904297,False,False
lower_prompt__lower_spaced,pair_0045,12,01,02,01,-4.639127731323242,-4.730378150939941,0.09125041961669922,True,False
lower_prompt__lower_spaced,pair_0046,12,02,01,01,-3.595571517944336,-4.1075639724731445,0.5119924545288086,True,False
lower_prompt__lower_spaced,pair_0047,12,02,02,01,-3.7112035751342773,-3.93967342376709,0.2284698486328125,True,False
lower_prompt__lower_spaced,pair_0048,13,01,01,01,-4.556615829467773,-4.6124372482299805,0.05582141876220703,True,False
lower_prompt__lower_spaced,pair_0049,13,01,02,01,-4.468663215637207,-4.759134292602539,0.29047107696533203,True,False
lower_prompt__lower_spaced,pair_0050,13,02,01,01,-3.309861183166504,-3.480940818786621,0.1710796356201172,True,False
lower_prompt__lower_spaced,pair_0051,13,02,02,01,-3.601191520690918,-3.3646068572998047,-0.23658466339111328,False,False
lower_prompt__lower_spaced,pair_0052,14,01,01,01,-4.457001686096191,-4.991843223571777,0.5348415374755859,True,False
lower_prompt__lower_spaced,pair_0053,14,01,02,01,-4.360591888427734,-4.924040794372559,0.5634489059448242,True,False
lower_prompt__lower_spaced,pair_0054,14,02,01,01,-3.733975410461426,-3.9324874877929688,0.19851207733154297,True,False
