pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.906497955322266,-40.61582565307617,-32.872337341308594,-40.52363204956055,7.709327697753906,7.651294708251953,-32.865108489990234,-40.69910430908203,-32.90349197387695,-40.45930862426758,7.833995819091797,7.555816650390625,-0.12466812133789062,-0.09547805786132812,-0.11007308959960938,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.807010650634766,-40.480464935302734,-32.87761688232422,-40.29866027832031,7.673454284667969,7.421043395996094,-32.794532775878906,-40.39889144897461,-32.890533447265625,-40.376224517822266,7.604358673095703,7.485691070556641,0.06909561157226562,0.06464767456054688,0.06687164306640625,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.14122772216797,-41.046043395996094,-33.19336700439453,-41.567901611328125,7.904815673828125,8.374534606933594,-33.132728576660156,-40.99046325683594,-33.197906494140625,-41.63661575317383,7.857734680175781,8.438709259033203,0.04708099365234375,0.06417465209960938,0.05562782287597656,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.26335525512695,-41.05799865722656,-33.390846252441406,-41.1466178894043,7.794643402099609,7.755771636962891,-33.22565460205078,-41.02832794189453,-33.42570495605469,-41.19071960449219,7.80267333984375,7.7650146484375,-0.008029937744140625,0.009243011474609375,0.000606536865234375,False,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.723960876464844,-40.329345703125,-33.00586700439453,-40.413299560546875,7.605384826660156,7.407432556152344,-32.72193908691406,-40.29576110839844,-33.001220703125,-40.457759857177734,7.573822021484375,7.456539154052734,0.03156280517578125,0.049106597900390625,0.04033470153808594,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.88285827636719,-40.35342788696289,-32.840545654296875,-40.420074462890625,7.470569610595703,7.57952880859375,-32.879302978515625,-40.234676361083984,-32.839412689208984,-40.5347785949707,7.355373382568359,7.695365905761719,0.11519622802734375,0.11583709716796875,0.11551666259765625,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.32653045654297,-40.607730865478516,-33.2708740234375,-40.77283477783203,7.281200408935547,7.501960754394531,-33.313209533691406,-40.5034065246582,-33.27809524536133,-40.85608673095703,7.190196990966797,7.577991485595703,0.09100341796875,0.07603073120117188,0.08351707458496094,True,True,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.26520919799805,-40.81932067871094,-33.316802978515625,-41.32069396972656,7.554111480712891,8.003890991210938,-33.27522659301758,-40.74109649658203,-33.307376861572266,-41.3792839050293,7.465869903564453,8.071907043457031,0.0882415771484375,0.06801605224609375,0.07812881469726562,True,True,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.23826217651367,-40.160545349121094,-32.871337890625,-40.523345947265625,6.922283172607422,7.652008056640625,-33.2365837097168,-40.18718338012695,-32.86241912841797,-40.472259521484375,6.950599670410156,7.609840393066406,-0.028316497802734375,-0.04216766357421875,-0.03524208068847656,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.83757019042969,-40.17271041870117,-32.902679443359375,-40.617942810058594,7.335140228271484,7.715263366699219,-32.83068084716797,-40.21592330932617,-32.90789794921875,-40.5666618347168,7.385242462158203,7.658763885498047,-0.05010223388671875,-0.056499481201171875,-0.05330085754394531,False,False,
